Name,National_ID,Academic_Year
Ahmed Mohamed Ali,29801234567891,FIRST
Sara Khaled Hassan,30012345678902,SECOND
Omar Tarek Mahmoud,30123456789013,THIRD
Mariam Youssef Ibrahim,29956789012346,FOURTH
Nader Hossam Fathy,30167890123457,FIRST
Nour Adel Sayed,29878901234568,SECOND
Youssef Magdy Salah,30289012345679,THIRD
Dina Ramadan Mostafa,29990123456780,FOURTH
Kareem Fawzy Nasser,30301234567891,FIRST
Hana Samir Zakaria,29812345678902,SECOND
Moustafa Gamal Ezzat,30023456789013,THIRD
Rana Ahmed Fouad,30134567890124,FOURTH
Ziad Sherif Lotfy,29945678901235,FIRST
Laila Hassan Mansour,30056789012346,SECOND
Amr Wael Badran,30167890123458,THIRD
Salma Nabil Hamdy,29878901234569,FOURTH
Ibrahim Osama Farouk,30289012345670,FIRST
Nada Hany Shawky,29990123456781,SECOND
Mohamed Ashraf Zaki,30301234567892,THIRD
Yasmin Tarek Sobhy,29812345678903,FOURTH
Hazem Alaa Morsy,30023456789014,FIRST
Reem Khalid Attia,30134567890125,SECOND
Sherif Mahmoud Gaber,29945678901236,THIRD
Doaa Ahmed Selim,30056789012347,FOURTH
Khaled Sameh Helal,30167890123459,FIRST
Mona Ibrahim Rashad,29878901234560,SECOND
Amir Hesham Badr,30289012345671,THIRD
Noha Walid Ghaly,29990123456782,FOURTH
Tamer Essam Kamal,30301234567893,FIRST
Rania Samir Abdallah,29812345678904,SECOND
Bassem Adel Sharaf,30023456789015,THIRD
Heba Yasser Ismail,30134567890126,FOURTH
Mahmoud Fathi Osman,29945678901237,FIRST
Aya Mohamed Barakat,30056789012348,SECOND
Wael Nasser Gohar,30167890123450,THIRD
Samar Hossam Nassar,29878901234561,FOURTH
Osama Khaled Wahba,30289012345672,FIRST
Ghada Tarek Azzam,29990123456783,SECOND
Adel Sherif Kordy,30301234567894,THIRD
Passant Ibrahim Halim,29812345678905,FOURTH
Hossam Gamal Labib,30023456789016,FIRST
Eman Nabil Fahmy,30134567890127,SECOND
Samer Alaa Hindawi,29945678901238,THIRD
Lobna Wael Tantawy,30056789012349,FOURTH
Mostafa Ramadan Hefny,30167890123451,FIRST
Shaimaa Ahmed Radwan,29878901234562,SECOND
Tarek Hany Megahed,30289012345673,THIRD
Dalia Osama Bishara,29990123456784,FOURTH
Karim Essam Nasr,30301234567895,FIRST
Farah Khalid Sarhan,29812345678906,SECOND
