Name,National_ID,Academic_Year
Amira Hossam Naguib,30045678901234,FIRST
Youssef Sherif Morsy,29934567890123,SECOND
Salma Tarek Mansour,30156789012345,THIRD
Ahmed Nabil Fouad,29867890123456,FOURTH
Nada Gamal Wahba,30278901234567,FIRST
Omar Khalid Badran,29989012345678,SECOND
Hana Adel Labib,30190123456789,THIRD
Ziad Ramadan Gohar,29901234567890,FOURTH
Rana Wael Khamis,30212345678901,FIRST
Mostafa Alaa Sobhy,29823456789012,SECOND
Lobna Essam Tantawy,30034567890123,THIRD
Karim Ibrahim Hafez,30145678901234,FOURTH
Farah Sameh Rizk,29956789012345,FIRST
Tamer Hany Osman,30067890123456,SECOND
Eman Yasser Selim,30178901234567,THIRD
Sherif Osama Azzam,29889012345678,FOURTH
Doaa Mahmoud Barakat,30200123456789,FIRST
Bassem Tarek Helal,29911234567890,SECOND
Reem Nasser Abdallah,30122345678901,THIRD
Adel Khaled Hindawi,29933456789012,FOURTH
Mona Gamal Rashad,30244567890123,FIRST
Hazem Wael Nassar,29855678901234,SECOND
Shaimaa Hossam Halim,30066789012345,THIRD
Ibrahim Nabil Kordy,30177890123456,FOURTH
Ghada Sherif Sarhan,29988901234567,FIRST
Samer Ahmed Megahed,30099012345678,SECOND
Passant Tarek Fahmy,30100123456789,THIRD
Wael Gamal Radwan,29911234567891,FOURTH
Dalia Khaled Bishara,30222345678902,FIRST
Osama Alaa Hefny,29833456789013,SECOND
